Date,Time,open,high,low,close,volume,spread
2020.01.02,00:00:00,1.12132,1.12143,1.12008,1.12011,904,1
2020.01.02,04:00:00,1.12011,1.12136,1.12008,1.12118,5038,1
2020.01.02,08:00:00,1.12118,1.1214,1.1183,1.11929,6608,1
2020.01.02,12:00:00,1.11929,1.1203,1.11651,1.11662,11166,1
2020.01.02,16:00:00,1.11662,1.1172,1.11635,1.11692,6013,1
2020.01.02,20:00:00,1.11692,1.1176,1.11683,1.11754,1851,1
2020.01.03,00:00:00,1.11754,1.11784,1.11685,1.11699,4322,1
2020.01.03,04:00:00,1.11699,1.11714,1.11506,1.11511,7286,1
2020.01.03,08:00:00,1.11511,1.11522,1.1125,1.1139,9082,1
2020.01.03,12:00:00,1.1139,1.11797,1.11353,1.11719,11042,1
2020.01.03,16:00:00,1.1172,1.1174,1.116,1.11614,5941,1
2020.01.03,20:00:00,1.11614,1.11619,1.1152,1.11558,600,2
2020.01.05,20:00:00,1.11646,1.11682,1.11582,1.11635,3346,1
2020.01.06,00:00:00,1.11635,1.11709,1.11612,1.11642,3539,1
2020.01.06,04:00:00,1.11642,1.11798,1.11571,1.11785,5655,1
2020.01.06,08:00:00,1.11785,1.12054,1.11752,1.1198,7172,1
2020.01.06,12:00:00,1.1198,1.12032,1.11809,1.11872,8415,1
2020.01.06,16:00:00,1.11872,1.11978,1.11842,1.11937,3818,1
2020.01.06,20:00:00,1.11934,1.11989,1.11891,1.11897,2467,1
2020.01.07,00:00:00,1.11897,1.11971,1.11896,1.11908,2478,1
2020.01.07,04:00:00,1.11908,1.11924,1.11725,1.11845,7104,1
2020.01.07,08:00:00,1.11845,1.11896,1.11647,1.11747,7934,1
2020.01.07,12:00:00,1.11746,1.11779,1.11335,1.1137,10934,1
2020.01.07,16:00:00,1.11368,1.11495,1.11367,1.11437,4516,1
2020.01.07,20:00:00,1.11437,1.11681,1.11437,1.11585,7694,1
2020.01.08,00:00:00,1.11585,1.11631,1.11451,1.11476,7591,1
2020.01.08,04:00:00,1.11476,1.11548,1.11301,1.11351,9086,1
2020.01.08,08:00:00,1.11348,1.11447,1.11137,1.11166,8986,1
2020.01.08,12:00:00,1.11166,1.11308,1.11086,1.11162,10949,1
2020.01.08,16:00:00,1.11164,1.11258,1.11082,1.11118,6495,1
2020.01.08,20:00:00,1.11118,1.11157,1.11016,1.11132,3066,1
2020.01.09,00:00:00,1.11132,1.11193,1.11111,1.11153,2889,1
2020.01.09,04:00:00,1.11153,1.11203,1.11051,1.11172,5775,1
2020.01.09,08:00:00,1.11172,1.1119,1.10965,1.11135,7994,1
2020.01.09,12:00:00,1.11135,1.11173,1.10923,1.11059,8442,1
2020.01.09,16:00:00,1.11059,1.11112,1.11034,1.11062,4151,1
2020.01.09,20:00:00,1.11062,1.11093,1.11017,1.1107,2301,1
2020.01.10,00:00:00,1.1107,1.1111,1.11021,1.11074,2171,1
2020.01.10,04:00:00,1.11074,1.1111,1.10935,1.10994,3897,1
2020.01.10,08:00:00,1.10994,1.11001,1.1085,1.10983,5844,1
2020.01.10,12:00:00,1.10983,1.11206,1.10861,1.11179,12239,1
2020.01.10,16:00:00,1.11179,1.11291,1.11172,1.1121,3712,1
2020.01.10,20:00:00,1.11211,1.11224,1.11199,1.11212,521,2
2020.01.12,20:00:00,1.11162,1.11209,1.11128,1.11187,1413,1
2020.01.13,00:00:00,1.11187,1.11304,1.11171,1.11271,1967,1
2020.01.13,04:00:00,1.11271,1.11317,1.112,1.11279,4072,1
2020.01.13,08:00:00,1.1128,1.11359,1.11127,1.11245,6458,1
2020.01.13,12:00:00,1.11245,1.11469,1.11175,1.11372,8183,1
2020.01.13,16:00:00,1.11372,1.11447,1.11355,1.11376,3355,1
2020.01.13,20:00:00,1.11376,1.11421,1.1132,1.11383,2466,1
2020.01.14,00:00:00,1.11383,1.11409,1.11312,1.11364,3186,1
2020.01.14,04:00:00,1.11364,1.11444,1.11333,1.11352,5103,1
2020.01.14,08:00:00,1.11352,1.11355,1.11194,1.11206,6288,1
2020.01.14,12:00:00,1.11206,1.11304,1.11042,1.11295,10455,1
2020.01.14,16:00:00,1.11295,1.11347,1.1127,1.11283,4203,1
2020.01.14,20:00:00,1.11283,1.11308,1.11247,1.11295,2569,1
2020.01.15,00:00:00,1.11295,1.11336,1.1127,1.11331,2331,1
2020.01.15,04:00:00,1.11331,1.11367,1.11185,1.113,3704,1
2020.01.15,08:00:00,1.11299,1.11549,1.1125,1.11407,6820,1
2020.01.15,12:00:00,1.11413,1.11633,1.114,1.11595,9213,1
2020.01.15,16:00:00,1.11595,1.11614,1.1148,1.11523,4461,1
2020.01.15,20:00:00,1.11523,1.1158,1.11481,1.11548,3224,1
2020.01.16,00:00:00,1.11548,1.11554,1.11506,1.11509,1976,1
2020.01.16,04:00:00,1.11509,1.11636,1.11446,1.11563,4367,1
2020.01.16,08:00:00,1.11563,1.11726,1.11503,1.11647,6040,1
2020.01.16,12:00:00,1.11647,1.11697,1.11278,1.11303,11022,1
2020.01.16,16:00:00,1.11303,1.1138,1.11291,1.11378,3740,1
2020.01.16,20:00:00,1.11378,1.11392,1.11334,1.11375,2341,1
2020.01.17,00:00:00,1.11375,1.11425,1.11307,1.11319,2476,1
2020.01.17,04:00:00,1.11319,1.11411,1.11318,1.11355,3698,1
2020.01.17,08:00:00,1.11355,1.11375,1.11059,1.11097,7179,1
2020.01.17,12:00:00,1.11097,1.11118,1.10862,1.10917,9437,1
2020.01.17,16:00:00,1.10917,1.10949,1.10878,1.10927,3023,1
2020.01.17,20:00:00,1.10926,1.10927,1.1089,1.10893,568,2
2020.01.19,20:00:00,1.1092,1.10985,1.10888,1.10929,1925,1
2020.01.20,00:00:00,1.10929,1.10989,1.10924,1.10964,1711,1
2020.01.20,04:00:00,1.10964,1.11024,1.10886,1.1089,3870,1
2020.01.20,08:00:00,1.10891,1.10912,1.1082,1.10838,3980,1
2020.01.20,12:00:00,1.10838,1.1086,1.10766,1.10838,4034,1
2020.01.20,16:00:00,1.10838,1.10976,1.10823,1.10974,2300,1
2020.01.20,20:00:00,1.10973,1.10977,1.1091,1.10923,2174,1
2020.01.21,00:00:00,1.10923,1.10993,1.10888,1.10992,3180,1
2020.01.21,04:00:00,1.10992,1.10992,1.10863,1.10902,4955,1
2020.01.21,08:00:00,1.10902,1.111,1.10855,1.11079,6851,1
2020.01.21,12:00:00,1.11081,1.1118,1.10886,1.10957,7911,1
2020.01.21,16:00:00,1.10957,1.10963,1.10871,1.10871,3945,1
2020.01.21,20:00:00,1.10872,1.1088,1.10809,1.10826,2975,1
2020.01.22,00:00:00,1.10826,1.10838,1.10772,1.10823,2510,1
2020.01.22,04:00:00,1.10823,1.10861,1.10748,1.10813,4307,1
2020.01.22,08:00:00,1.10812,1.10947,1.1077,1.10835,6589,1
2020.01.22,12:00:00,1.10835,1.10983,1.10701,1.10845,10076,1
2020.01.22,16:00:00,1.10845,1.10933,1.10838,1.10929,3960,1
2020.01.22,20:00:00,1.10928,1.10994,1.10796,1.10872,2798,1
2020.01.23,00:00:00,1.10872,1.10913,1.10811,1.10852,2764,1
2020.01.23,04:00:00,1.10852,1.10921,1.10809,1.10836,4709,1
2020.01.23,08:00:00,1.10836,1.10947,1.1079,1.10844,5521,1
2020.01.23,12:00:00,1.10844,1.11087,1.10363,1.1041,16429,1
2020.01.23,16:00:00,1.1041,1.10576,1.10397,1.10555,5157,1
2020.01.23,20:00:00,1.10555,1.10588,1.10506,1.10527,2767,1
2020.01.24,00:00:00,1.10527,1.10552,1.10486,1.10486,1875,1
